Company Name,Domain,Vertical,Country,Tech Spend ($),Monthly Visits,Has Case Study Match,Emails,Phones,Social Links
Shimonoseki Mitsui Chemicals Inc,shimonoseki-mci.co.jp,Unknown,JP,14400,,No,info@shimonoseki-mci.co.jp,,
Takeda Pharmaceuticals U.S.A. Inc,takedamedconnect.com,Business And Industrial,US,14397,,No,,+1-877-825-3327,
,natureadvantage.ca,,,14347,,No,,,
ENI PLENITUDE IBERIA S.L,eniplenitude.es,Business And Industrial,ES,14250,,No,clientes@eniplenitude.es; info@eniplenitude.es,+34-900-373763,facebook.com/plenitudeespana; linkedin.com/company/plenitude-es
Volkswagen,vw.ca,Automotive And Vehicles,CA,14204,,No,privacy@vw.ca,+1-800-668-8224; +1-289-255-0403,twitter.com/vwcanada; facebook.com/vwcanada
Avery Dennison Corporation,makingpackagingcircular.com,Business And Industrial,,14200,,No,,,
Visa,visa.com.tw,Finance,US,14117,,No,,,facebook.com/visatw; instagram.com/visaasiapacific
BMW,bmwmyanmar.com,Automotive And Vehicles,DE,14100,,No,,,
,testingprostatecancer.com,Health And Fitness,,14070,,No,,,
WSzW w Gorzowie Wlkp. Sp. z o.o,gorzow.pl,Sports,US,14069,,No,sekretariat@zpkwl.gorzow.pl,,facebook.com/3logorzow; youtube.com/user/wwwgorzowpl
USHEALTH Group,ushealthgroup.com,Business And Industrial,US,13985,,No,info@ushealthgroup.com; media@ushealthgroup.com,+1-817-878-3823; +1-800-606-4482,twitter.com/ushealth_group; linkedin.com/company/ushealthgroup
Smart Japam Co. Ltd,shopjapan.co.jp,Technology And Computing,JP,13940,,No,info@shopjapan.co.jp,,twitter.com/shopjapan; facebook.com/shopjapan.official
,fondazionesnam.it,Unknown,IT,13927,,No,,,
ZenTrades,zentrades.pro,Business And Industrial,US,13924,,No,hello@zentrades.pro,+1-206-456-8988,
Frankfort Toyota,frankforttoyota.com,Automotive And Vehicles,US,13913,,No,,+1-866-878-0180; +1-866-709-0877,twitter.com/frankforttoyota; instagram.com/frankforttoyota
Safe Guard Products International LLC,power-protect.com,Business And Industrial,US,13900,,No,info@power-protect.com,+1-800-689-0047; +1-800-356-3025,
MLCAM.COM.AU Pty Ltd,mlcam.com.au,Business And Industrial,AU,13900,,No,info@mlcam.com.au,+61-300-738355; +61-800-931678,
Bridgestone Corporation,bridgestone.es,Travel,FR,13805,,No,,+34-916-233017,twitter.com/bridgestoneblog; facebook.com/bridgestone.espana
Bridgestone Corporation,bridgestone.fi,Unknown,BE,13805,,No,,+1-936-200-0207,twitter.com/bridgestonetyre; facebook.com/bridgestoneemia
,customerpreferencecenter.com,Automotive And Vehicles,,13800,,No,,,
,azmedconnect.vn,Unknown,VN,13750,,No,,,
,actonckd-eg.com,Health And Fitness,,13750,,No,,,
,azmedconnect.ph,,,13750,,No,,,
,rangerover.com,Automotive And Vehicles,,13635,,No,,,
Browning Arms Company,browning.com,Style And Fashion,US,13570,,No,webmaster@browning.com; customerservice@browning.com,+1-801-876-2711; +1-800-806-1990,twitter.com/browningarms; pinterest.com/browningarms
BYD(H.K.)CO. LIMITED,bmeasyliftline.com,Unknown,CN,13512,,No,,,
PA Co,huntfish.pa.gov,Unknown,US,13500,,No,,,
,allstatecareer.org,Unknown,,13400,,No,,+1-610-521-1818; +1-410-631-1818,
"Allianz Slovenija, podruznica",allianz-slovenija.si,Unknown,,13400,,No,info@allianz-slovenija.si,,facebook.com/allianz.si
Herschel Supply Co,herschelsupply.de,Business And Industrial,GB,13372,,No,,,twitter.com/herschelsupply; facebook.com/herschelsupply
Herschel Supply Co,herschelsupply.fr,Business And Industrial,GB,13372,,No,,,twitter.com/herschelsupply; facebook.com/herschelsupply
,pearsoneltusa.com,,,13358,,No,,,
Bridgestone Corporation,bridgestone.fr,Business And Industrial,FR,13340,,No,,+33-1-69192700,twitter.com/bridgestonetyre; facebook.com/bridgestone.france
,teachables-qa.scholastic.com,,,13200,,No,,,
,teachables-stage.scholastic.com,,,13200,,No,,,
Skip to main co,art.scholastic.com,Unknown,US,13118,,No,,,twitter.com/scholasticedu; facebook.com/scholasticteachers
LYBALVI inc,lybalvi.com,Health And Fitness,US,13095,,No,,+1-866-961-2388; +1-844-592-2584,
renault,renault.hr,Automotive And Vehicles,FR,13077,,No,,,facebook.com/renaulthrvatska; instagram.com/renault_hr
Mid State Toyota,midstatetoyota.com,Automotive And Vehicles,US,13057,,No,,+1-336-625-2147; +1-919-872-9410,twitter.com/toyota; facebook.com/toyota
,ch.abbott,Technology And Computing,CH,13050,,No,,,twitter.com/abbottnews; facebook.com/abbott
RBC Trust,rbctrust.com,Finance,US,13025,,No,,+1-302-892-6924; +1-800-441-7698,
,kingspanroofing.com,,,13000,,No,,,
,sparbankenmalardalen.se,,,13000,,No,,,
Interface Inc,interface.com.cn,Home And Garden,CN,13000,,No,,,pinterest.com/interfacechina
Federal Mogul Motorparts Corporation,wagnerbrake.com,Technology And Computing,US,12968,,No,,+1-248-354-8103; +1-800-560-1400,facebook.com/wagnerparts; instagram.com/wagnerbrake
Bridgestone Chiudi,bridgestone.ch,Unknown,FR,12957,,No,,,twitter.com/bridgestoneemea; facebook.com/bridgestoneemia
BBVA Allianz Seguros y Reaseguros,bbvaallianz.es,Unknown,,12950,,No,,,
,stockq.org,Finance,CN,12940,,No,,+61-37-3065062; +61-28-1345010,
Fred Hutchinson Cancer Research Center,obliteride.org,Health And Fitness,US,12925,,No,volunteer@obliteride.org; info@obliteride.org,+1-206-667-7870; +1-206-667-6414,facebook.com/obliteride; instagram.com/obliteride
AbbVie Inc,aclaremosdeunavez.com.co,Unknown,,12897,,No,,,
,brazilwindpower.com.br,Business And Industrial,GB,12865,,No,,,facebook.com/brazilwindpower
,daikin-ce.com,Business And Industrial,BE,12842,,No,,,linkedin.com/company/daikin-central-europe
Halliburton Labs,halliburtonlabs.com,Business And Industrial,,12799,,No,,,twitter.com/halliburtonlabs; linkedin.com/company/halliburton-labs
Skip to main co,superstem-aem64-qa.scholastic.com,Unknown,US,12768,,No,,,twitter.com/scholastic; facebook.com/scholastic
Skip to main co,classroommagazines-aem64-dev.scholastic.com,Unknown,US,12768,,No,,,twitter.com/scholasticedu; facebook.com/scholasticteachers
Skip to main co,choices.scholastic.com,Unknown,US,12768,,No,,,twitter.com/scholasticedu; facebook.com/scholasticteachers
Skip to main co,upfront-aem-perf.scholastic.com,Unknown,US,12768,,No,,,twitter.com/scholasticedu; facebook.com/scholasticteachers
,e-dis.de,Technology And Computing,DE,12747,,No,info@e-dis.de,+49-3361-7332333,
,gonvda.cc,,,12700,,No,,,
,chiesiconnect.fr,,,12700,,No,,,
,chiesiconnect.es,,,12700,,No,,,
,chiesiconnect.de,,,12700,,No,,,
BMW,bmwjamaica.com,Automotive And Vehicles,DE,12700,,No,,,twitter.com/bmwjamaica
,si-am.de,Business And Industrial,DE,12665,,No,info@si-am.de,+49-40-41240; +49-40-41244919,
Clear Mobile,clearmobile.ie,Business And Industrial,IE,12650,,No,,,twitter.com/clearmobileire; facebook.com/clearmobileireland
UMZUG Se,umzug.de,Unknown,DE,12647,,No,,+49-30-243011200; +49-30-243011110,
Factor This,renewableenergyworld.com,Business And Industrial,US,12615,,No,,+1-603-891-9351; +1-877-841-9617,facebook.com/renewableenergyworldmag
Advanced Security Systems Inc,advancedsecurity.us,Technology And Computing,US,12605,,No,,+1-707-462-9229; +1-877-443-6366,linkedin.com/company/advanced-security-system; instagram.com/advancedsecuritysystems
Taylor's University College,taylors.edu.my,Education,MY,12495,,No,applications@taylors.edu.my; contactus@taylors.edu.my,+1-609-567-3391,facebook.com/taylorslibrary; instagram.com/taylorsuni
Akzo Nobel N.V,lesonal.pl,Business And Industrial,PL,12481,,No,,,facebook.com/lesonal.global; linkedin.com/company/lesonal
,panpacificresort.com,,,12350,,No,,,
Abbott Laboratories,de.abbott,Unknown,DE,12350,,No,,,facebook.com/abbott; linkedin.com/company/abbott-
Delta Dental Plan of New Mexico Inc,deltadentalnm.com,Health And Fitness,US,12314,,No,sales@deltadentalnm.com; customerservice@deltadentalnm.com,+1-505-883-7444; +1-800-525-0011,facebook.com/deltadentalnm; linkedin.com/company/delta-dental-of-new-mexico
Kia Deutschland GmbH,kia-ahag-duelmen.de,Technology And Computing,,12300,,No,,,facebook.com/ahag.group
Bridgestone Corporation,bridgestone.ee,Unknown,,12240,,No,,,
Bridgestone SchlieAYen,bridgestone.at,Unknown,AT,12240,,No,,,twitter.com/bridgestonetyre; facebook.com/bridgestoneemia
Bridgestone Corporation,bridgestone.gr,Business And Industrial,BE,12240,,No,,,twitter.com/bridgestonetyre; facebook.com/bridgestoneemia
Bridgestone Corporation,bridgestone.lt,Unknown,BE,12240,,No,,,
Bridgestone Corporation,bridgestone.cz,Automotive And Vehicles,FR,12240,,No,,,twitter.com/bridgestonetyre; facebook.com/bridgestone.cesko
Bridgestone,bridgestone.be,Unknown,FR,12240,,No,,,twitter.com/bridgestonetyre; facebook.com/bridgestonemoto
Bridgestone Corporation,bridgestone.lv,Unknown,,12240,,No,,,
,bridgestone.hr,Unknown,IT,12240,,No,,,twitter.com/bridgestoneuk; facebook.com/bridgestoneemia
Florida KidCare,floridakidcare.org,Unknown,US,12239,,No,,+1-877-316-8748; +1-800-821-5437,youtube.com/user/floridahealthykids
Costa Kreuzfahrten GmbH,costakreuzfahrten.at,Business And Industrial,IT,12220,,No,,+39-010-54831,facebook.com/costakreuzfahrtenat; youtube.com/user/costakreuzfahrten
The Medical Staff of Cooley Dickinson Hospital Inc,cooleydickinson.org,Health And Fitness,US,12205,,No,feedback@cooleydickinson.org,+1-413-582-2000; +1-800-439-2370,twitter.com/cooleydickinson; facebook.com/cooleydickinson
,volkswagen-jamaica.com,Automotive And Vehicles,GB,12200,,No,,,facebook.com/volkswagenjamaica; instagram.com/volkswagenjamaica
,library-projects.flinders.edu.au,Unknown,AU,12200,,No,,,facebook.com/flindersuniversity; linkedin.com/company/flinders-university-library
,eniplenitude.eu,Technology And Computing,,12150,,No,,,
,indooroopillyshopping.com.au,Shopping,AU,12114,,No,info@indooroopillyshopping.com.au,+61-73-3784022,facebook.com/indooroopillyshoppingcentre; pinterest.com/indooroopilly
Biogen Japan Ltd,ms-supportnavi.com,Art And Entertainment,JP,12097,,No,,,
Hyatt Corporation,baiyuejiudian.com.cn,Unknown,,12050,,No,,,
National Comprehensive Cancer Network Inc,calquencehcp.com,Business And Industrial,,12050,,No,,,twitter.com/calquencehcp; facebook.com/calquence
,icf.com.br,Unknown,,11949,,No,,,facebook.com/icfciencias; instagram.com/icfciencias
BYD(H.K.)CO. LIMITED,hbzhuangying.com,Unknown,,11947,,No,,,
,swickardtoyota101.com,Unknown,US,11934,,No,,,facebook.com/swickardtoyota101; instagram.com/swickardtoyota101
,miposeinaihcm.gr,,,11900,,No,,,
,bmson.tv,,,11900,,No,,,
,camzyos-safety-patient.be,,,11900,,No,,,
,amag-classic.ch,Unknown,CH,11900,,No,,,
,chiesiconnect.gr,,,11900,,No,,,
,bmsplus.se,,,11900,,No,,,
Abbott Laboratorios Do Brasil Ltda,abbottbrasil.com.br,Health And Fitness,BR,11890,,No,,+44-800-7031050,facebook.com/abbottbrasil; linkedin.com/company/abbott-
South Coast Toyota,southcoasttoyota.com,Automotive And Vehicles,US,11779,,No,info@southcoasttoyota.com; sales@southcoasttoyota.com,+18662531415; +19497222000,instagram.com/southcoasttoyota; twitter.com/SouthCoastT
,drjanusz.herbalife.com,,,11770,,No,,,
,slimu.herbalife.com,,,11770,,No,,,
,casulamall.com.au,Food And Drink,AU,11727,,No,,+61-29-8211033; +61-300-157173,facebook.com/casulamall; instagram.com/casulamall
,imfinzihcp.com,Health And Fitness,,11718,,No,,+1-800-236-9933,
,ompshydro.com.au,Unknown,,11665,,No,,,facebook.com/omps-hydro-100553722505474
,ngtqa.com,,,11661,,No,,,
,ua.abbott,Unknown,UA,11650,,No,,,twitter.com/abbottnews; facebook.com/abbott
,toyotaofbayridge.com,Unknown,US,11554,,No,,,
Kia Motors Nederland B.V,kia.nl,Automotive And Vehicles,NL,11530,,No,,,twitter.com/kia_motors_nl; facebook.com/kianederland
Autodesk Bran,brand.autodesk.com,Unknown,US,11475,,No,,,facebook.com/autodesk
 HEALTH DASHB,hds-stg.autodesk.com,Unknown,US,11474,,No,,,
Toyota Polska,toyotaostroleka.pl,Automotive And Vehicles,US,11443,,No,info@toyotaostroleka.pl,,facebook.com/toyotapolska; instagram.com/toyota.polska
Toyota Polska,toyota.katowice.pl,Automotive And Vehicles,US,11443,,No,,,twitter.com/toyotapolska; facebook.com/toyotapolska
,allerganaesthetics.pl,Unknown,,11435,,No,,,facebook.com/allerganaestheticspl; instagram.com/allerganaestheticspl
,allerganaesthetics.gr,Unknown,,11435,,No,,,instagram.com/allerganaestheticsgreece
,kingssquare.com.au,Shopping,AU,11330,,No,,+61-4-38579626,facebook.com/kingssquareperthcity
,eveprogramme.com,Technology And Computing,,11317,,No,,+33-1-44352058; +33-6-03043481,twitter.com/eveprogramme; facebook.com/programmeeve
Ketocafe,ketocafe.nl,Technology And Computing,FR,11312,,No,,,facebook.com/nutriciaketocafenlbe; instagram.com/nutricia_ketocafe_nlbe
Akzo Nobel N.V,duluxtradepaintexpert.co.uk,Business And Industrial,GB,11308,,No,,+44-1925-214597; +44-33-32227022,twitter.com/duluxtrade; facebook.com/duluxtradepaintexpert
,topconpositioning.asia,,,11300,,No,,,
MINI,mini.com.mk,Technology And Computing,,11300,,No,,,facebook.com/mini.makedonija; instagram.com/minimakedonija
,blu-u.com,Careers,US,11300,,No,,+1-978-909-2899; +1-617-571-7220,
,improsafondos.com,Unknown,,11300,,No,,,facebook.com/improsabancadeinversion; instagram.com/improsabancadeinversion
Hong Kong Baptist University,lsc.hkbu.edu.hk,Unknown,HK,11300,,No,,,facebook.com/hkbucm; instagram.com/hkbuscm
,whirlpool.sa,Technology And Computing,AE,11282,,No,,,facebook.com/whirlpoolarabia
Recepedia,recepedia.com,Food And Drink,,11278,,No,,,instagram.com/recepedia_br
Eidgenossisches Institut fur Metrologie METAS,metas.ch,Unknown,CH,11250,,No,,,
Girl Scouts Of Louisiana - Pines To The Gulf,gslpg.org,Technology And Computing,US,11219,,No,shop@gslpg.org; info@gslpg.org,+13374979488; +13184844499,twitter.com/gslpg; facebook.com/gslpg
Kreissparkasse Saarlouis,ksk-saarlouis.de,Finance,DE,11217,,No,service@ksk-saarlouis.de,+49-6831-4421306,facebook.com/ksksaarlouis; instagram.com/ksksaarlouis
,alhammad.sa.com,,,11200,,No,,,
Toyota Cesko,toyota-emilfrey.cz,Automotive And Vehicles,CZ,11189,,No,,,facebook.com/toyotacze; youtube.com/user/toyotacz
GASGAS MOTORCYCLES GmbH,gasgas.com,Automotive And Vehicles,,11183,,No,info@gasgas.com,+1-816-809-8404,twitter.com/gasgasmotos; facebook.com/gasgas.official
,erste-am.de,Finance,HU,11160,,No,,,linkedin.com/company/erste-asset-management-gmbh; facebook.com/ersteassetmanagement
Erste Asset Management d.o.o,erste-am.hr,Business And Industrial,HR,11160,,No,,,
Loprofin GmbH,loprofin.de,Unknown,DE,11078,,No,,,
VIREA,virea.se,Unknown,,11058,,No,,,
Toyota Polska,toyota-zg.pl,Automotive And Vehicles,US,11043,,No,,,facebook.com/toyotapolska; linkedin.com/company/toyota-motor-poland
Danone Ltd,oykos.co.uk,Food And Drink,GB,11012,,No,,+44-808-1449451; +44-30-31231113,twitter.com/oykosuk; facebook.com/oykosuk
Puratos Group,puratos-konding.hr,Food And Drink,HR,10967,,No,,+38512456196,twitter.com/puratosgroup; instagram.com/puratos_croatia
,tenderbox.de,Unknown,DE,10920,,No,,,
Business Mirror,businessmirror.net,Business And Industrial,US,10918,,No,,,twitter.com/business_mirror; facebook.com/businessmirror1
Chris-Craft,chriscraft.com,Art And Entertainment,US,10860,,No,info@chriscraft.com; service@chriscraft.com,+1-941-358-3705; +1-941-358-3740,facebook.com/chriscraftboats; youtube.com/user/chriscraftboats
,international-yachtpaint.com,"Law, Govt And Politics",,10859,,No,,,
,cavatoyota.com,Automotive And Vehicles,US,10856,,No,sales@cavatoyota.com,+1-304-366-2720; +1-304-942-1176,facebook.com/dancavatoyotaworld
,erste-am.at,Finance,HU,10850,,No,,,linkedin.com/company/erste-asset-management-gmbh; facebook.com/ersteassetmanagement
,erste-am.hu,Finance,,10850,,No,,,linkedin.com/company/erste-asset-management-gmbh; facebook.com/ersteassetmanagement
potnoodle,potnoodle.com,Business And Industrial,GB,10811,,No,,+44-800-0323251,facebook.com/potnoodle; instagram.com/potnoodle
The Bartell Drug Company,bartelldrugs.com,Food And Drink,US,10775,,No,,+1-206-762-7630; +1-425-337-9287,facebook.com/bartelldrugs; pinterest.com/bartelldrugs
Toyota Slovensko,toyotaprievidza.sk,Automotive And Vehicles,SK,10707,,No,info@toyotaprievidza.sk,,facebook.com/toyotask; instagram.com/toyota_slovensko
Toyota Polska,toyota-bialapodlaska.com.pl,Automotive And Vehicles,US,10707,,No,,,facebook.com/toyotapolska; instagram.com/toyota.polska
,automobielbedrijfcito-jaguar.nl,Unknown,NL,10692,,No,,,x.com/jaguar; twitter.com/jaguar
Mercedes-Benz Mexico S. de R.L. de C.V.,mercedes-benz.com.mx,Automotive And Vehicles,MX,10660,,No,,,facebook.com/mercedesbenzmx; instagram.com/mercedesbenzmx
Sparkasse Mainfranken Wurzburg,sparkasse-mainfranken.de,Finance,DE,10632,,No,mail@sparkasse-mainfranken.de,,
Artsana S.p.a,picsolution.com,Business And Industrial,IT,10610,,No,,,youtube.com/user/picsolutionchannel
,toyotahemet.com,Automotive And Vehicles,US,10556,,No,,+1-951-658-3188,twitter.com/toyotahemet; facebook.com/toyotahemet
,samlubes.in,Business And Industrial,IN,10540,,No,sales@samlubes.in,,
,viscomitalia.it,"Law, Govt And Politics",IT,10527,,No,,+39-02-4351701,facebook.com/viscomitalia; linkedin.com/company/viscom-italia
Algida Czech Republic,algida.cz,Food And Drink,,10521,,No,,,facebook.com/algidacr
Kreissparkasse Ravensburg,kreissparkasse-ravensburg.de,Technology And Computing,DE,10500,,No,,+49-751-841000,facebook.com/kreissparkasseravensburg; linkedin.com/company/kreissparkasse-ravensburg
Weberbank Actiengesellschaft,weberbank.de,Technology And Computing,DE,10500,,No,service@weberbank.de,+49-30-89798588; +49-30-138890,facebook.com/weberbank-1747793768828236; linkedin.com/company/weberbank-actiengesellschaft
Zweckverbandssparkasse Rhoen-Rennsteig,rhoen-rennsteig-sparkasse.de,Finance,DE,10500,,No,info@rhoen-rennsteig-sparkasse.de,,
Sparkasse Saarbrucken,sparkasse-saarbruecken.de,Finance,DE,10500,,No,service@sparkasse-saarbruecken.de,,
Kreissparkasse Steinfurt,ksk-steinfurt.de,Business And Industrial,DE,10500,,No,info@ksk-steinfurt.de,,youtube.com/user/ksksteinfurt
Sparkasse Donnersberg,sparkasse-donnersberg.de,Finance,DE,10500,,No,info@sparkasse-donnersberg.de,,linkedin.com/company/sparkasse-donnersberg
,nordsjo.se,Technology And Computing,SE,10465,,No,,,facebook.com/nordsjosverige; pinterest.com/nordsjopaint
FresuCare AG,fresucare.ch,Unknown,CH,10464,,No,,,
,cheetahproducts.com.au,,,10440,,No,,,
Hamilton Bond Ltd,hamilton-bond.co.uk,Business And Industrial,GB,10410,,No,info@hamilton-bond.co.uk,+44-1905-726407; +44-30-31231113,
,sites.udel.edu,Unknown,US,10400,,No,,,twitter.com/udelaware; facebook.com/udelaware
Novellini S.p.A,novellini.co.uk,Art And Entertainment,GB,10325,,No,,+44-1727-229922,facebook.com/novellini.official; instagram.com/novellini_official
AMD Indonesia,amd-id.com,Technology And Computing,ID,10311,,No,,,instagram.com/amd.indonesia
Mercer LLC,nzasretirementfund.com,Business And Industrial,NZ,10300,,No,,,
,china-ipif.com,Unknown,CN,10300,,No,,,
Reed Exhibitions Ltd,reedexport.cn,Science,CN,10300,,No,,,
MetLife Insurance Company of Korea Ltd,metlife.co.kr,Unknown,KR,10300,,No,,,facebook.com/koreametlife
,zinokdaugiau.lt,Unknown,LT,10289,,No,,,
,schweizerkulturpreise.ch,,,10286,,No,,,
Moog Inc,moog.es,Home And Garden,ES,10260,,No,,+34-916-539214,facebook.com/moogindustrial; twitter.com/moog_industrial
,lexus-shymkent.kz,Unknown,,10250,,No,info@lexus-shymkent.kz,,instagram.com/lexus_aktobe
Regis-TR,regis-tr.com,Business And Industrial,DE,10219,,No,onboarding@regis-tr.com,+1-207-862-7021,linkedin.com/company/regis-tr
,gcmliberia.org,Technology And Computing,,10217,,No,info@gcmliberia.org,+231886550035,facebook.com/gcmliberia; instagram.com/gcmliberia
bavariatt.sk,bavariatt.sk,Automotive And Vehicles,SK,10213,,No,info@bavariatt.sk,,facebook.com/bavariatt; instagram.com/bavariatt_bmw
,ece.udel.edu,Unknown,US,10208,,No,,,twitter.com/udelaware; facebook.com/udelece
Imperial Chemical Industries Ltd,dulux.com.hk,"Law, Govt And Politics",HK,10178,,No,,,facebook.com/dulux.hk; instagram.com/dulux.hk
Sparkasse Berchtesgadener Land,sparkasse-bgl.de,Technology And Computing,DE,10150,,No,info@sparkasse-bgl.de,+49-8651-7072130,facebook.com/sparkasse.berchtesgadener.land; instagram.com/sparkassebgl
